What About Love,Austin Mahone,2013,Solo,Just Dance 2014
Wild,Jessie J ft. Big Sean,2013,Solo,Just Dance 2014
Y.M.C.A.,Village People,1978,Dance Crew,Just Dance 2014
Bad Romance,Lady Gaga,2009,Trio,Just Dance 2015
Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj",2014,Dance Crew,Just Dance 2015
Birthday,Katy Perry,2013,Solo,Just Dance 2015
Boom Clap,Charli XCX,2014,Solo,Just Dance 2015
Break Free,Ariana Grande ft. Zedd,2014,Solo,Just Dance 2015
Built For This,Becky G,2013,Solo,Just Dance 2015
Dark Horse,Katy Perry,2014,Trio,Just Dance 2015
Don’t Worry Be Happy,Bobby McFerrin (The Bench Men),1988,Trio,Just Dance 2015
Happy,Pharrell Williams,2013,Solo,Just Dance 2015
I Love It,Icona Pop ft. Charli XCX,2012,Solo,Just Dance 2015
Let It Go,Idina Menzel (Disney's Frozen),2013,Duet,Just Dance 2015
Love Is All,Roger Glover and The Butterfly Ball (The Sunlight Shakers),1974,Duet,Just Dance 2015
Maps,Maroon 5,2014,Solo,Just Dance 2015
Never Can Say Goodbye,Gloria Gaynor,1974,Solo,Just Dance 2015
Till I Find You,Austin Mahone,2014,Solo,Just Dance 2015
Walk This Way,Run DMC ft. Aerosmith,1986,Dance Crew,Just Dance 2015
India Waale,From the movie Happy New Year,2014,Duet,Just Dance Now
Movement is Happiness (Find Your Thing),Avishay Goren & Yossi Cohen,2014,Solo,Just Dance Now
Cheerleader (Felix Jaehn Remix),OMI,2014,Dance Crew,Just Dance Unlimited
Smile ( Улыбайся ),IOWA,2013,Solo,Just Dance 2016
Mashed Potato Time,Dee Dee Sharp,1962,Solo,Just Dance
Aserejé (The Ketchup Song),Las Ketchup,2002,Duet,Just Dance 4
Rock n’ Roll (Will Take You to the Mountain),Skrillex,2010,Solo,Just Dance 4
Prince Ali,Disney's Aladdin,1992,Dance Crew,Just Dance 2014
Better When I’m Dancin’,Meghan Trainor,2015,Solo,Just Dance Unlimited
Airplanes,B.o.B. ft. Hayley Williams of Paramore,2010,Solo,Just Dance 3
Oath,Cher Lloyd ft. Becky G,2012,Duet,Just Dance 4
Flashdance... What A Feeling,Irene Cara (The Girly Team),1983,Solo,Just Dance 2014
Tetris,Hirokazu Tanaka (Dancing Bros.),1989,Dance Crew,Just Dance 2015
Girls Just Want to Have Fun,Cyndi Lauper,1983,Solo,Just Dance
The Master Blaster,Inspector Marceau,1969,Duet,Just Dance 3
Maneater,Nelly Furtado,2006,Solo,Just Dance 4
Shut Up and Dance,Walk The Moon,2014,Duet,Just Dance Unlimited
Le Freak,Chic,1978,Solo,Just Dance
Move Your Feet,Junior Senior,2002,Solo,Just Dance 2
Jump (For My Love),The Pointer Sisters (Girls Aloud),2003,Duet,Just Dance 3
Promiscuous,Nelly Furtado ft. Timbaland,2006,Duet,Just Dance 3
Get Ugly,Jason Derulo,2015,Trio,Just Dance Unlimited
Taste The Feeling,Avicii ft. Conrad Sewell,2016,Solo,Just Dance Unlimited
Crying Blood,VV Brown,2008,Solo,Just Dance 2
Apache (Jump On It),The Sugarhill Gang,1981,Solo,Just Dance 3
One Way Or Another (Teenage Kicks),One Direction,2013,Solo,Just Dance 2014
It’s Raining Men,The Weather Girls,1983,Solo,Just Dance 2
Summer,Calvin Harris,2014,Solo,Just Dance 2015
Am I Wrong,Nico & Vinz,2013,Solo,Just Dance Unlimited
Holiday,Madonna (The Hit Crew),1982,Solo,Just Dance 2
I Need Your Love,Calvin Harris ft. Ellie Goulding,2012,Solo,Just Dance 2014
Hold My Hand,Jess Glynne,2015,Solo,Just Dance Unlimited
Acceptable in the 80s,Calvin Harris,2007,Solo,Just Dance
I Feel Love,Donna Summer,1977,Solo,Just Dance 3
Holding Out for a Hero,Bonnie Tyler,1984,Solo,Just Dance 2015
Take Me Out,Franz Ferdinand,2004,Solo,Just Dance 2
Ona tańczy dla mnie,Weekend,2012,Duet,Just Dance 2017
Imya 505 (Имя 505),Время и Стекло,2015,Solo,Just Dance 2017
Let Me Love You,DJ Snake feat. Justin Bieber,2016,Duet,Just Dance 2017
Let Me Love You,DJ Snake feat. Justin Bieber,2016,Duet,Just Dance 2017
YOUTH,Troye Sivan,2015,Solo,Just Dance Unlimited
Je sais pas danser,Natoo,2016,Solo,Just Dance 2017
Je sais pas danser,Natoo,2016,Solo,Just Dance 2017
The Greatest,Sia,2016,Solo,Just Dance Unlimited
A Pirate You Shall Be,Tom Zehnder,1996,Solo,Just Dance Kids 2014
Hickory Dickory Dock,Tom Zehnder,2007,Solo,Just Dance Kids 2014
Mary Had A Little Lamb,Tom Zehnder,1830,Solo,Just Dance Kids 2014
We Go Well Together,Goldheart,2003,Solo,Just Dance Kids 2014
Alphabet Song,The Just Dance Kids,1835,Solo,Just Dance Kids
Jingle Bells,The Just Dance Kids,1857,Solo,Just Dance Kids 2
The Lion Sleeps Tonight,The Tokens (The Just Dance Kids),1961,Solo,Just Dance Kids 2
I Like to Move It,Reel 2 Reel ft. The Mad Stuntman (The Just Dance Kids),1993,Solo,Just Dance Kids 2014
Under the Sea,"Disney's ""The Little Mermaid""",1989,Solo,Just Dance 2016
